smiles,mol,tpsa,mol_w,qed,HBA,HBD,logP,MR
CC1(C)Oc2ccc(cc2[C@@H]([C@H]1O)N(Cc1ncc[nH]1)c1ccc(Cl)cc1)C#N,<rdkit.Chem.rdchem.Mol object at 0x00000291433FC870>,85.17,408.1353035920006,0.6748304428674042,5,2,4.214580000000003,110.83450000000002
CCCCOc1c(cnc2[nH]ncc12)C(=O)c1c(F)cc(C)cc1F,<rdkit.Chem.rdchem.Mol object at 0x00000291433FC8D0>,67.87,345.12888322400045,0.5424062270424719,4,1,3.9544200000000025,88.81920000000004
CCCCOc1c(cnc2[nH]ncc12)C(=O)c1c(F)cc(C)cc1F,<rdkit.Chem.rdchem.Mol object at 0x00000291433FC930>,67.87,345.12888322400045,0.5424062270424719,4,1,3.9544200000000025,88.81920000000004
C[C@@H](N(c1cc(F)ccc1F)S(=O)(=O)c1ccc(Cl)cc1)c1ccc(F)cc1CCCC(O)=O,<rdkit.Chem.rdchem.Mol object at 0x00000291433FC990>,74.68,511.08319149200054,0.37529855093542275,4,1,6.121100000000005,122.86360000000006
CCc1c(c(nn1-c1ccccc1-c1cccc(OCC(O)=O)c1)-c1ccccc1)-c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x00000291433FC9F0>,64.35,474.19434269200065,0.2656844081260246,5,1,6.899100000000006,142.38079999999985
Cc1cnc2c(NCCN)nc3ccc(C)cc3n12,<rdkit.Chem.rdchem.Mol object at 0x00000291433FCA50>,68.24,255.14839554399998,0.7493932675754699,5,2,1.8699399999999997,77.51110000000003
Cc1cnc2c(NCCN)nc3ccc(C)cc3n12,<rdkit.Chem.rdchem.Mol object at 0x00000291433FCAB0>,68.24,255.14839554399998,0.7493932675754699,5,2,1.8699399999999997,77.51110000000003
CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1,<rdkit.Chem.rdchem.Mol object at 0x00000291433FCB10>,80.05,380.1340680080006,0.770773758794448,7,2,3.6590000000000016,101.10140000000004
CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1,<rdkit.Chem.rdchem.Mol object at 0x00000291433FCB70>,80.05,380.1340680080006,0.770773758794448,7,2,3.6590000000000016,101.10140000000004
CCCC(=O)C1(CCN(CC1)C(=O)[C@@H](Cc1ccc(OC)cc1)NC(=O)[C@@H](N)Cc1cncn1C)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x00000291433FCBD0>,119.55000000000001,559.3158547920012,0.35222307595755126,7,2,2.9556000000000022,157.36509999999973
Cc1cc(cc2[nH]c(nc12)-c1c(NC[C@@H](O)c2cccc(Cl)c2)cc[nH]c1=O)N1CCOCC1,<rdkit.Chem.rdchem.Mol object at 0x00000291433FCC30>,106.26999999999998,479.1724173720007,0.3343913398488883,6,4,3.8621200000000027,134.82089999999994
Cc1cc(cc2[nH]c(nc12)-c1c(NC[C@@H](O)c2cccc(Cl)c2)cc[nH]c1=O)N1CCOCC1,<rdkit.Chem.rdchem.Mol object at 0x00000291433FCC90>,106.26999999999998,479.1724173720007,0.3343913398488883,6,4,3.8621200000000027,134.82089999999994
CCN1CCN(CC1)c1ccc(cn1)C(C)(C)NC(=O)c1cc2[nH]c3ccccc3c(=O)c2cc1F,<rdkit.Chem.rdchem.Mol object at 0x00000291433FCCF0>,81.32999999999998,487.23835342000086,0.4157876980899081,5,2,4.022400000000002,141.08889999999994
CN1C(=O)N(C(=O)[C@]11CN(Cc2cc(cs2)C(O)=O)C[C@H]1c1ccc(cc1)C#N)c1cc(Cl)cc(Cl)c1,<rdkit.Chem.rdchem.Mol object at 0x00000291433FCD50>,104.94999999999999,554.0582314800006,0.441604349484378,7,1,5.061580000000004,140.29129999999986
Cc1c(NC(=O)OC[C@@H]2COCCN2)cn2ncnc(Nc3ccc4n(Cc5cccc(F)c5)ncc4c3)c12,<rdkit.Chem.rdchem.Mol object at 0x00000291433FCDB0>,119.63000000000001,530.2190149440008,0.2903374856581191,10,3,3.8553200000000016,143.82209999999986
Cc1c(NC(=O)OC[C@@H]2COCCN2)cn2ncnc(Nc3ccc4n(Cc5cccc(F)c5)ncc4c3)c12,<rdkit.Chem.rdchem.Mol object at 0x00000291433FCE10>,119.63000000000001,530.2190149440008,0.2903374856581191,10,3,3.8553200000000016,143.82209999999986
COc1cnc(-n2cnc(C)n2)c2[nH]cc(C(=O)C(=O)N3CCN(CC3)C(=O)c3ccccc3)c12,<rdkit.Chem.rdchem.Mol object at 0x00000291433FCE70>,126.30999999999997,473.18115221600067,0.34479770594796677,8,1,1.6279199999999996,125.55570000000002
